Name;ID
@everyone;1196190615248052348
Lamina Noctis;1441143443773722676
TeamBasH Skyfall;1440398459180941402
Synix Tenjin;1441105119780278464
Syndicate;1441143784401539124
OVGUlaschkanone;1436710055448809635
TPS Godwings;1430901191503773827
TPS Atlas;1441105021142831284
Elucidator Black Dragon;1439670309916770314
Touching Turtles Hurricanes;1441802232839405699
German Elite;1441105193524789481
UNEX MIRAGE;1435312797767569439
Elucidator Paragon;1437487029310062674
OVGU Celestials;1437845943507615765
Entropy Blaze OG;1430901258620895282
Zealox Takeoff;1437845836523503708
Fly Unity;1430901129708961843
Justice JPD;1442121356346134598
N3 Huskies;1430996802600964116
Irie Legacy;1437486959441481819
Trinitas Team Lean;1435312868730998834
Astellia Grappa;1430901187133050880
N3 Nemesis;1430944617632759969
AG Team Uchiha;1430901083785400443
CoreOne E-Sports;1440399054738686032
Godalions Ocean;1431170408224264264
AXS Academy;1430900965866995774
N3 Semi;1441105284331208785
Trinitas Engineers;1430901000964669503
SIMMER UME;1441802128141062164
PR3STIGIOUS;1436033655431757854
Depression;1441802193115283476
Team Synix;1430901052537966794
MINKZ Talents;1438239990160298055
Visionary eSports Academy;1430900916856291360
Team Axis;1430944297888251974
Elucidator Unknown;1435313018605928460
MINKZ Gaming II;1442121698752205001
Tempest Esports;1435312948443611368
Madness eSports;1431667993737302036
Team E1;1435313155214545086
Visionary eSports;1440399571086737528
Godalions;1437158771389497354
Asnero Esports;1431278184548274256
Trinitas Esports Main;1430993826839007242
VisionGaming;1436033678940704808
ZURA Falcons;1436709974616309822
MINKZ Gaming;1430900866298282066
Prestige League;1290295944553959428
Division 1;1442213173057945742
English;1280785737285107744
German;1280785668137816124
Server Booster;1250555894299754507
Tickets Admin;1209915593747341332
Tickets Support;1209915591432077373
Support;1209231750027288676
TempVoice;1209230992649494591
Lamina Noctics;1441143443773722676
Ticket Tool;1209230581477408808
MEE6;1209230539488362540
Caster;1209973519966797935
Liga Developer;1268544530177855578
Liga Management;1196190722836136016